ContentID	Version	Name	Region	Field5	Field6	PKGLink	FileSize	Field9
HOMEBREW-0175	2005	DOS/x86 – Bochs	PSP			https://archive.org/details/bochs-freedos.7z	N/A	
HOMEBREW-0176	2020	DOS/x86 – DOSBox	PSP			https://archive.org/details/dosbox-psp.-7z	N/A	
HOMEBREW-0177	2021	DOS/x86 – UniPCemu	PSP			https://archive.org/details/uni-pcemu-psp.-7z	N/A	
HOMEBREW-0178	2005	MSX – HitBit	PSP			https://archive.org/details/hitbit.-7z	N/A	
HOMEBREW-0179	2009	MSX – PSPMSX	PSP			https://archive.org/details/pspmsx.7z	N/A	
HOMEBREW-0180	2018	MSX – fMSX PSP	PSP			https://archive.org/details/fmsxpsp.7z	N/A	
HOMEBREW-0181	2005	MSX – fMSX (osakana)	PSP			https://archive.org/details/fMSX061.7z	N/A	
HOMEBREW-0182	2008	MSX – uMSX	PSP			https://archive.org/details/uMSX.7z	N/A	
HOMEBREW-0183	2008	PC-88 – Q88PSP	PSP			https://archive.org/details/q-88-pv-07.7z	N/A	
HOMEBREW-0184	2008	PC-88 – QUASI88	PSP			https://archive.org/details/3q-88px-080220.7z	N/A	
HOMEBREW-0185	2011	PC-98 – NP2	PSP			https://archive.org/details/np-2-for-psp-v-0.39.7z	N/A	
HOMEBREW-0186	2011	PC-98 – NP21	PSP			https://archive.org/details/np-21-for-psp-v-0.39.7z	N/A	
HOMEBREW-0187	2009	Thomson – PSPMO5	PSP			https://archive.org/details/pspmo5-v1.2.0-fw5x.7z	N/A	
HOMEBREW-0188	2008	Thomson – PSPTHOM	PSP			https://archive.org/details/pspthom-fw-15.7z	N/A	
HOMEBREW-0189	2009	ZX Spectrum – Fuse PSP	PSP			https://archive.org/details/fuse.7z	N/A	
HOMEBREW-0190	2008	ZX Spectrum – PSPZX81	PSP			https://archive.org/details/pspzx81v1.2.0fw3x.7z	N/A	
HOMEBREW-0191	2006	ZX Spectrum – PsPectrum	PSP			https://archive.org/details/ps-pectrum.-7z	N/A	
HOMEBREW-0192	2015	ZX Spectrum – Unreal Speccy Portable	PSP			https://archive.org/details/usp_0.0.62.7z	N/A	
HOMEBREW-0193	2011	Misc PC – Mednafen PSP (PC-FX)	PSP			https://archive.org/details/mednafenPSP	N/A	
HOMEBREW-0194	2007	Misc PC – Pyldin 601	PSP			https://archive.org/details/pyldin601-psp-3.2rev93	N/A	
HOMEBREW-0195	2007	Misc PC – PSPBEEB (BBC Micro)	PSP			https://archive.org/details/pspbeeb.7z	N/A	
HOMEBREW-0196	2008	Misc PC – PSPDragon (Dragon/Coco)	PSP			https://archive.org/details/pspdragon.7z	N/A	
HOMEBREW-0197	2008	Misc PC – PSPSIM (SamCoupé)	PSP			https://archive.org/details/pspsim-v1.2.1-fw3x.7z	N/A	
HOMEBREW-0198	2008	Misc PC – PSPTI99 (TI-99/4)	PSP			https://archive.org/details/pspti99-v1.0.3-fw3x.7z	N/A	
HOMEBREW-0199	2014	Misc PC – PX68K (X68000)	PSP			https://archive.org/details/px-68-k-for-psp-ver-0.10.7z	N/A	
HOMEBREW-0200	2017	Arcade (Cave) – FBA4PSP Cave	PSP			https://archive.org/details/cave.7z	N/A	
